player,passes,shots,xg,pressures,recoveries,matches_played,minutes,passes_per90,shots_per90,xg_per90,pressures_per90,recoveries_per90,xg_per_shot,pressure_pass_ratio,attacking_score
Jorge Franco Alviz,132.0,11.0,1.33,52.0,15.0,6,540,22.0,1.83,0.22,8.67,2.5,0.12090909090909091,0.3939393939393939,5.059
Jorge Meré Pérez,414.0,2.0,0.22,88.0,34.0,10,900,41.4,0.2,0.02,8.8,3.4,0.11,0.21256038647342995,8.35
Jorge Molina Vidal,92.0,4.0,0.81,43.0,15.0,6,540,15.33,0.67,0.14,7.17,2.5,0.2025,0.4673913043478261,3.337
Jorge Resurrección Merodio,884.0,15.0,0.86,234.0,69.0,12,1080,73.67,1.25,0.07,19.5,5.75,0.05733333333333333,0.2647058823529412,15.144000000000002
Joseba Zaldúa Bengoetxea,158.0,0.0,0.0,32.0,11.0,3,270,52.67,0.0,0.0,10.67,3.67,,0.20253164556962025,10.534
Josip Radošević,118.0,0.0,0.0,95.0,20.0,4,360,29.5,0.0,0.0,23.75,5.0,,0.8050847457627118,5.9
José Antonio García Rabasco,608.0,12.0,1.2,209.0,52.0,12,1080,50.67,1.0,0.1,17.42,4.33,0.09999999999999999,0.34375,10.484
José Antonio Reyes Calderón,189.0,6.0,1.11,90.0,16.0,7,630,27.0,0.86,0.16,12.86,2.29,0.18500000000000003,0.47619047619047616,5.738
José Eduardo Rosa Vale de Castro,386.0,4.0,0.35,54.0,35.0,7,630,55.14,0.57,0.05,7.71,5.0,0.0875,0.13989637305699482,11.224
José Ignacio Fernández Iglesias,147.0,1.0,0.05,29.0,10.0,4,360,36.75,0.25,0.01,7.25,2.5,0.05,0.19727891156462585,7.430000000000001
José Ignacio Martínez García,207.0,0.0,0.0,43.0,13.0,5,450,41.4,0.0,0.0,8.6,2.6,,0.20772946859903382,8.28
José Ignacio Peleteiro Ramallo,95.0,4.0,0.11,55.0,26.0,6,540,15.83,0.67,0.02,9.17,4.33,0.0275,0.5789473684210527,3.3770000000000002
José Luis García del Pozo,548.0,12.0,0.59,233.0,72.0,12,1080,45.67,1.0,0.05,19.42,6.0,0.049166666666666664,0.4251824817518248,9.459
José Luis Gayà Peña,174.0,0.0,0.0,45.0,8.0,4,360,43.5,0.0,0.0,11.25,2.0,,0.25862068965517243,8.700000000000001
José Luis Morales Nogales,351.0,27.0,1.78,210.0,57.0,14,1260,25.07,1.93,0.13,15.0,4.07,0.06592592592592593,0.5982905982905983,5.658
José María Giménez de Vargas,218.0,5.0,0.85,57.0,21.0,7,630,31.14,0.71,0.12,8.14,3.0,0.16999999999999998,0.26146788990825687,6.501
José María Martín-Bejarano Serrano,113.0,4.0,0.22,36.0,14.0,3,270,37.67,1.33,0.07,12.0,4.67,0.055,0.3185840707964602,7.968000000000001
José Raúl Baena Urdiales,165.0,1.0,0.05,53.0,19.0,4,360,41.25,0.25,0.01,13.25,4.75,0.05,0.3212121212121212,8.33
José Vicente Gómez Umpiérrez,121.0,0.0,0.0,49.0,5.0,6,540,20.17,0.0,0.0,8.17,0.83,,0.4049586776859504,4.034000000000001
José Ángel Crespo Rincón,210.0,0.0,0.0,45.0,8.0,4,360,52.5,0.0,0.0,11.25,2.0,,0.21428571428571427,10.5
Jozabed Sánchez Ruiz,126.0,1.0,0.04,41.0,10.0,4,360,31.5,0.25,0.01,10.25,2.5,0.04,0.3253968253968254,6.380000000000001
João Pedro Cavaco Cancelo,287.0,2.0,0.54,60.0,24.0,6,540,47.83,0.33,0.09,10.0,4.0,0.27,0.20905923344947736,9.71
Juan Antonio Rodríguez Villamuela,263.0,5.0,0.25,94.0,22.0,9,810,29.22,0.56,0.03,10.44,2.44,0.05,0.3574144486692015,6.027
Juan Carlos Martín Corral,219.0,0.0,0.0,0.0,24.0,6,540,36.5,0.0,0.0,0.0,4.0,,0.0,7.300000000000001
Juan Carlos Valerón Santana,68.0,0.0,0.0,3.0,0.0,3,270,22.67,0.0,0.0,1.0,0.0,,0.04411764705882353,4.534000000000001
Juan Francisco García García,411.0,1.0,0.01,62.0,37.0,10,900,41.1,0.1,0.0,6.2,3.7,0.01,0.15085158150851583,8.25
Juan Francisco Moreno Fuertes,394.0,8.0,0.18,65.0,48.0,8,720,49.25,1.0,0.02,8.12,6.0,0.0225,0.1649746192893401,10.160000000000002
Juan Francisco Torres Belén,613.0,0.0,0.0,109.0,68.0,12,1080,51.08,0.0,0.0,9.08,5.67,,0.17781402936378465,10.216000000000001
Juan Isaac Cuenca López,103.0,3.0,0.07,50.0,19.0,6,540,17.17,0.5,0.01,8.33,3.17,0.023333333333333334,0.4854368932038835,3.5890000000000004
Juan Manuel Vargas Risco,241.0,4.0,0.06,24.0,36.0,5,450,48.2,0.8,0.01,4.8,7.2,0.015,0.0995850622406639,9.885
Juan Muñoz Muñoz,17.0,3.0,0.69,37.0,3.0,4,360,4.25,0.75,0.17,9.25,0.75,0.22999999999999998,2.176470588235294,1.1600000000000001
Juan Pablo Añor Acosta,354.0,19.0,1.44,221.0,66.0,12,1080,29.5,1.58,0.12,18.42,5.5,0.07578947368421052,0.6242937853107344,6.434
Juan Torres Ruiz,283.0,1.0,0.08,81.0,36.0,8,720,35.38,0.12,0.01,10.12,4.5,0.08,0.2862190812720848,7.117000000000001
Karim Benzema,184.0,20.0,2.91,38.0,13.0,6,540,30.67,3.33,0.49,6.33,2.17,0.14550000000000002,0.20652173913043478,7.378
Kevin Gameiro,135.0,23.0,4.97,106.0,24.0,9,810,15.0,2.56,0.55,11.78,2.67,0.21608695652173912,0.7851851851851852,4.043
Keylor Navas Gamboa,217.0,0.0,0.0,0.0,31.0,8,720,27.12,0.0,0.0,0.0,3.88,,0.0,5.424
Kléper Laveran Lima Ferreira,230.0,2.0,0.21,24.0,15.0,4,360,57.5,0.5,0.05,6.0,3.75,0.105,0.10434782608695652,11.675
Laureano Sanabria Ruiz,163.0,1.0,0.06,49.0,19.0,5,450,32.6,0.2,0.01,9.8,3.8,0.06,0.3006134969325153,6.585000000000001
Leonardo Carrilho Baptistão,166.0,12.0,1.16,106.0,19.0,9,810,18.44,1.33,0.13,11.78,2.11,0.09666666666666666,0.6385542168674698,4.152000000000001
Lucas Hernández Pi,193.0,0.0,0.0,65.0,13.0,7,630,27.57,0.0,0.0,9.29,1.86,,0.33678756476683935,5.514
Lucas Pérez Martínez,267.0,18.0,3.09,137.0,26.0,8,720,33.38,2.25,0.39,17.12,3.25,0.17166666666666666,0.5131086142322098,7.546000000000001
Lucas Vázquez Iglesias,137.0,1.0,0.02,58.0,15.0,5,450,27.4,0.2,0.0,11.6,3.0,0.02,0.4233576642335766,5.54
Luciano Vietto,112.0,10.0,0.89,96.0,15.0,5,450,22.4,2.0,0.18,19.2,3.0,0.089,0.8571428571428571,5.17
Luis Alberto Romero Alconchel,255.0,20.0,1.24,110.0,37.0,8,720,31.88,2.5,0.15,13.75,4.62,0.062,0.43137254901960786,7.2010000000000005
Luis Carlos Correia Pinto,171.0,0.0,0.0,30.0,9.0,4,360,42.75,0.0,0.0,7.5,2.25,,0.17543859649122806,8.55
Luis Hernández Rodríguez,630.0,1.0,0.04,60.0,65.0,12,1080,52.5,0.08,0.0,5.0,5.42,0.04,0.09523809523809523,10.524
Luka Modrić,480.0,6.0,0.22,91.0,30.0,6,540,80.0,1.0,0.04,15.17,5.0,0.03666666666666667,0.18958333333333333,16.32
Mamadou Sylla Diallo,28.0,4.0,0.58,51.0,3.0,5,450,5.6,0.8,0.12,10.2,0.6,0.145,1.8214285714285714,1.42
Manuel Agudo Durán,303.0,16.0,1.34,99.0,44.0,8,720,37.88,2.0,0.17,12.38,5.5,0.08375,0.32673267326732675,8.261000000000001
Manuel Castellano Castro,133.0,1.0,0.01,20.0,6.0,3,270,44.33,0.33,0.0,6.67,2.0,0.01,0.15037593984962405,8.965
Manuel Fernández Muñíz,118.0,0.0,0.0,0.0,13.0,5,450,23.6,0.0,0.0,0.0,2.6,,0.0,4.720000000000001
Manuel Pablo García Díaz,104.0,1.0,0.17,17.0,1.0,3,270,34.67,0.33,0.06,5.67,0.33,0.17,0.16346153846153846,7.063000000000001
Manuel Rolando Iturra Urrutia,106.0,0.0,0.0,37.0,9.0,3,270,35.33,0.0,0.0,12.33,3.0,,0.3490566037735849,7.066
Manuel Trigueros Muñoz,216.0,5.0,0.15,69.0,25.0,7,630,30.86,0.71,0.02,9.86,3.57,0.03,0.3194444444444444,6.3950000000000005
Marcelo Alfonso Díaz Rojas,397.0,8.0,0.31,93.0,35.0,7,630,56.71,1.14,0.04,13.29,5.0,0.03875,0.23425692695214106,11.704
Marcelo Vieira da Silva Júnior,472.0,5.0,0.2,83.0,26.0,6,540,78.67,0.83,0.03,13.83,4.33,0.04,0.17584745762711865,15.998000000000001
Marco Asensio Willemsen,313.0,20.0,3.1,145.0,55.0,9,810,34.78,2.22,0.34,16.11,6.11,0.155,0.46325878594249204,7.792000000000001
Mariano Ferreira Filho,244.0,2.0,0.2,54.0,19.0,6,540,40.67,0.33,0.03,9.0,3.17,0.1,0.22131147540983606,8.248000000000001
Mario Gaspar Pérez Martínez,486.0,15.0,0.79,104.0,36.0,8,720,60.75,1.88,0.1,13.0,4.5,0.05266666666666667,0.2139917695473251,12.764000000000001
Markel Bergara Larrañaga,146.0,8.0,0.67,72.0,19.0,5,450,29.2,1.6,0.13,14.4,3.8,0.08375,0.4931506849315068,6.385
Markel Susaeta Laskurain,263.0,5.0,1.04,124.0,44.0,9,810,29.22,0.56,0.12,13.78,4.89,0.20800000000000002,0.4714828897338403,6.072
Martín Montoya Torralbo,425.0,1.0,0.03,125.0,25.0,7,630,60.71,0.14,0.0,17.86,3.57,0.03,0.29411764705882354,12.184000000000001
Mateo Kovačić,84.0,0.0,0.0,41.0,8.0,3,270,28.0,0.0,0.0,13.67,2.67,,0.4880952380952381,5.6000000000000005
Matías Nahuel Leiva Esquivel,100.0,2.0,0.05,60.0,10.0,4,360,25.0,0.5,0.01,15.0,2.5,0.025,0.6,5.155
Mauricio Andrés Cuero Castillo,96.0,8.0,0.23,54.0,18.0,8,720,12.0,1.0,0.03,6.75,2.25,0.02875,0.5625,2.7150000000000003
Mauricio Lemos Merladet,256.0,5.0,0.15,50.0,21.0,7,630,36.57,0.71,0.02,7.14,3.0,0.03,0.1953125,7.537
Mauro Javier Dos Santos,313.0,3.0,0.11,84.0,38.0,9,810,34.78,0.33,0.01,9.33,4.22,0.03666666666666667,0.268370607028754,7.0600000000000005
Mehdi Lacen,335.0,4.0,0.12,143.0,54.0,8,720,41.88,0.5,0.02,17.88,6.75,0.03,0.42686567164179107,8.536000000000001
Michael Krohn-Dehli,239.0,8.0,1.78,60.0,26.0,7,630,34.14,1.14,0.25,8.57,3.71,0.2225,0.2510460251046025,7.295
Miguel Torres Gómez,452.0,1.0,0.02,108.0,33.0,11,990,41.09,0.09,0.0,9.82,3.0,0.02,0.23893805309734514,8.245000000000001
Miguel Ángel Guerrero Martín,62.0,3.0,0.47,53.0,4.0,4,360,15.5,0.75,0.12,13.25,1.0,0.15666666666666665,0.8548387096774194,3.3850000000000002
Mikel Balenziaga Oruesagasti,452.0,3.0,0.09,137.0,46.0,10,900,45.2,0.3,0.01,13.7,4.6,0.03,0.3030973451327434,9.135000000000002
Mikel González de Martín Martínez,151.0,1.0,0.01,30.0,12.0,5,450,30.2,0.2,0.0,6.0,2.4,0.01,0.1986754966887417,6.1
Mikel Oyarzabal Ugarte,305.0,17.0,1.41,183.0,49.0,10,900,30.5,1.7,0.14,18.3,4.9,0.08294117647058823,0.6,6.680000000000001
Mikel Rico Moreno,164.0,6.0,0.36,70.0,30.0,6,540,27.33,1.0,0.06,11.67,5.0,0.06,0.4268292682926829,5.796
Mikel San José Domínguez,569.0,6.0,0.35,168.0,48.0,11,990,51.73,0.55,0.03,15.27,4.36,0.05833333333333333,0.29525483304042177,10.526
Moisés Gómez Bordonado,161.0,5.0,0.14,90.0,30.0,7,630,23.0,0.71,0.02,12.86,4.29,0.028000000000000004,0.5590062111801242,4.823
Mubarak Wakaso,105.0,5.0,0.18,51.0,18.0,5,450,21.0,1.0,0.04,10.2,3.6,0.036,0.4857142857142857,4.5200000000000005
Nabil El Zhar,241.0,17.0,1.25,100.0,32.0,10,900,24.1,1.7,0.12,10.0,3.2,0.07352941176470588,0.4149377593360996,5.390000000000001
Nemanja Radoja,167.0,3.0,0.24,94.0,25.0,7,630,23.86,0.43,0.03,13.43,3.57,0.08,0.562874251497006,4.916
Nicolás Ladislao Fedor Flores,160.0,15.0,2.83,139.0,18.0,8,720,20.0,1.88,0.35,17.38,2.25,0.18866666666666668,0.86875,4.739
Ognjen Vranješ,217.0,0.0,0.0,96.0,18.0,6,540,36.17,0.0,0.0,16.0,3.0,,0.4423963133640553,7.234000000000001
Omar Mascarell González,263.0,4.0,0.1,90.0,25.0,6,540,43.83,0.67,0.02,15.0,4.17,0.025,0.34220532319391633,8.977
Oriol Riera Magem,132.0,10.0,1.81,86.0,8.0,9,810,14.67,1.11,0.2,9.56,0.89,0.181,0.6515151515151515,3.367
Pablo Daniel Piatti,65.0,3.0,0.23,92.0,14.0,6,540,10.83,0.5,0.04,15.33,2.33,0.07666666666666667,1.4153846153846155,2.336
Pablo Fornals Malla,274.0,7.0,0.25,86.0,34.0,11,990,24.91,0.64,0.02,7.82,3.09,0.03571428571428571,0.31386861313868614,5.184
Pablo Hernández Domínguez,310.0,11.0,0.6,97.0,28.0,6,540,51.67,1.83,0.1,16.17,4.67,0.05454545454545454,0.31290322580645163,10.933000000000002
Pablo Pérez Rodríguez,90.0,9.0,1.16,48.0,9.0,5,450,18.0,1.8,0.23,9.6,1.8,0.1288888888888889,0.5333333333333333,4.255
Pablo Sarabia García,408.0,25.0,1.66,231.0,69.0,10,900,40.8,2.5,0.17,23.1,6.9,0.0664,0.5661764705882353,8.995000000000001
Papa Kouly Diop,377.0,9.0,0.49,178.0,55.0,10,900,37.7,0.9,0.05,17.8,5.5,0.05444444444444444,0.47214854111405835,7.835000000000001
Pau López Sabata,205.0,0.0,0.0,1.0,32.0,8,720,25.62,0.0,0.0,0.12,4.0,,0.004878048780487805,5.1240000000000006
Pedro Bigas Rigo,328.0,4.0,0.44,62.0,16.0,7,630,46.86,0.57,0.06,8.86,2.29,0.11,0.18902439024390244,9.573
Pedro León Sánchez Gil,175.0,9.0,0.56,79.0,22.0,8,720,21.88,1.12,0.07,9.88,2.75,0.06222222222222223,0.4514285714285714,4.747
Pedro López Muñoz,253.0,2.0,0.07,73.0,29.0,6,540,42.17,0.33,0.01,12.17,4.83,0.035,0.2885375494071146,8.538
Pedro Mosquera Parada,586.0,7.0,0.81,216.0,46.0,10,900,58.6,0.7,0.08,21.6,4.6,0.11571428571428573,0.36860068259385664,11.97
Pedro Pablo Hernández,229.0,1.0,0.11,72.0,26.0,5,450,45.8,0.2,0.02,14.4,5.2,0.11,0.314410480349345,9.23
Pedro Taunausú Domínguez Placeres,296.0,7.0,1.16,117.0,32.0,7,630,42.29,1.0,0.17,16.71,4.57,0.1657142857142857,0.3952702702702703,8.843
Petros Matheus dos Santos Araújo,250.0,3.0,0.37,207.0,35.0,7,630,35.71,0.43,0.05,29.57,5.0,0.12333333333333334,0.828,7.296
Rachid Aït-Atmane,242.0,2.0,0.17,87.0,40.0,7,630,34.57,0.29,0.02,12.43,5.71,0.085,0.359504132231405,7.011000000000001
Raphaël Varane,312.0,2.0,0.11,46.0,14.0,6,540,52.0,0.33,0.02,7.67,2.33,0.055,0.14743589743589744,10.509
Raúl Albentosa Redal,437.0,10.0,0.88,106.0,48.0,13,1170,33.62,0.77,0.07,8.15,3.69,0.088,0.2425629290617849,6.99
Raúl García Escudero,340.0,28.0,1.75,197.0,26.0,10,900,34.0,2.8,0.18,19.7,2.6,0.0625,0.5794117647058824,7.73
Raúl Lizoáin Cruz,112.0,0.0,0.0,0.0,11.0,3,270,37.33,0.0,0.0,0.0,3.67,,0.0,7.466
Rene Krhin,108.0,1.0,0.02,42.0,13.0,5,450,21.6,0.2,0.0,8.4,2.6,0.02,0.3888888888888889,4.38
Ricardo Jorge Luz Horta,115.0,6.0,0.38,69.0,17.0,6,540,19.17,1.0,0.06,11.5,2.83,0.06333333333333334,0.6,4.164000000000001
Ricardo Miguel Moreira da Costa,286.0,4.0,0.45,51.0,25.0,8,720,35.75,0.5,0.06,6.38,3.12,0.1125,0.17832167832167833,7.33
Ricky van Wolfswinkel,38.0,5.0,1.0,28.0,4.0,4,360,9.5,1.25,0.25,7.0,1.0,0.2,0.7368421052631579,2.4000000000000004
Roberto José Rosales Altuve,509.0,5.0,0.12,121.0,59.0,11,990,46.27,0.45,0.01,11.0,5.36,0.024,0.23772102161100198,9.394000000000002
Roberto Román Triguero,405.0,1.0,0.01,102.0,22.0,8,720,50.62,0.12,0.0,12.75,2.75,0.01,0.2518518518518518,10.16
Roberto Soldado Rillo,126.0,5.0,0.98,59.0,12.0,4,360,31.5,1.25,0.24,14.75,3.0,0.196,0.46825396825396826,6.795000000000001
Roberto Trashorras Gayoso,822.0,3.0,0.07,111.0,61.0,9,810,91.33,0.33,0.01,12.33,6.78,0.023333333333333334,0.13503649635036497,18.37
Rodrigo Moreno Machado,161.0,10.0,1.35,85.0,24.0,7,630,23.0,1.43,0.19,12.14,3.43,0.135,0.5279503105590062,5.1240000000000006
Roque Luis Santa Cruz Cantero,93.0,0.0,0.0,24.0,7.0,8,720,11.63,0.0,0.0,3.0,0.88,,0.25806451612903225,2.326
Roque Mesa Quevedo,580.0,6.0,0.29,106.0,68.0,8,720,72.5,0.75,0.04,13.25,8.5,0.04833333333333333,0.18275862068965518,14.745
Rubén Castro Martín,245.0,28.0,4.22,74.0,20.0,9,810,27.22,3.11,0.47,8.22,2.22,0.15071428571428572,0.3020408163265306,6.612
Rubén Duarte Sánchez,224.0,4.0,0.2,83.0,18.0,7,630,32.0,0.57,0.03,11.86,2.57,0.05,0.3705357142857143,6.586
Rubén García Santos,105.0,7.0,0.31,70.0,19.0,7,630,15.0,1.0,0.04,10.0,2.71,0.04428571428571428,0.6666666666666666,3.32
Rubén Gracia Calmache,63.0,0.0,0.0,44.0,5.0,4,360,15.75,0.0,0.0,11.0,1.25,,0.6984126984126984,3.1500000000000004
Rubén Pardo Gutiérrez,366.0,10.0,0.3,115.0,31.0,8,720,45.75,1.25,0.04,14.37,3.88,0.03,0.31420765027322406,9.545
Rubén Rochina Naixes,329.0,22.0,1.15,111.0,60.0,8,720,41.12,2.75,0.14,13.88,7.5,0.05227272727272727,0.3373860182370821,9.119
Rubén Salvador Pérez Del Mármol,329.0,2.0,0.03,122.0,36.0,8,720,41.12,0.25,0.0,15.25,4.5,0.015,0.3708206686930091,8.299
Rúben Miguel Nunes Vezo,114.0,0.0,0.0,29.0,14.0,3,270,38.0,0.0,0.0,9.67,4.67,,0.2543859649122807,7.6000000000000005
Sabin Merino Zuloaga,39.0,4.0,0.52,10.0,5.0,3,270,13.0,1.33,0.17,3.33,1.67,0.13,0.2564102564102564,3.084
Salvador Sevilla López,43.0,1.0,0.26,22.0,5.0,5,450,8.6,0.2,0.05,4.4,1.0,0.26,0.5116279069767442,1.805
Samuel Castillejo Azuaga,247.0,8.0,0.63,140.0,41.0,9,810,27.44,0.89,0.07,15.56,4.56,0.07875,0.5668016194331984,5.790000000000001
Santiago Mina Lorenzo,159.0,9.0,0.92,135.0,22.0,6,540,26.5,1.5,0.15,22.5,3.67,0.10222222222222223,0.8490566037735849,5.825000000000001
Santiago Vergini,204.0,0.0,0.0,58.0,21.0,6,540,34.0,0.0,0.0,9.67,3.5,,0.28431372549019607,6.800000000000001
Saúl Berjón Pérez,66.0,5.0,0.86,20.0,11.0,7,630,9.43,0.71,0.12,2.86,1.57,0.172,0.30303030303030304,2.1590000000000003
Saúl Ñíguez Esclapez,447.0,22.0,1.31,273.0,65.0,12,1080,37.25,1.83,0.11,22.75,5.42,0.05954545454545455,0.610738255033557,8.054
Sebastián Carlos Cristóforo Pepe,398.0,3.0,0.11,197.0,44.0,10,900,39.8,0.3,0.01,19.7,4.4,0.03666666666666667,0.4949748743718593,8.055
Sergi Gómez Solà,420.0,1.0,0.07,117.0,50.0,8,720,52.5,0.12,0.01,14.62,6.25,0.07,0.2785714285714286,10.541
Sergio Enrich Ametller,241.0,11.0,2.22,171.0,23.0,12,1080,20.08,0.92,0.19,14.25,1.92,0.20181818181818184,0.7095435684647303,4.3870000000000005
Sergio Escudero Palomo,302.0,4.0,0.44,99.0,28.0,8,720,37.75,0.5,0.06,12.38,3.5,0.11,0.32781456953642385,7.73
Sergio Ezequiel Araújo,66.0,9.0,1.67,43.0,9.0,4,360,16.5,2.25,0.42,10.75,2.25,0.18555555555555556,0.6515151515151515,4.1850000000000005
Sergio Gontán Gallardo,291.0,12.0,1.09,210.0,43.0,8,720,36.38,1.5,0.14,26.25,5.38,0.09083333333333334,0.7216494845360825,7.796000000000001
Sergio Ramos García,268.0,1.0,0.03,37.0,16.0,4,360,67.0,0.25,0.01,9.25,4.0,0.03,0.13805970149253732,13.48
Sergio Rico González,370.0,0.0,0.0,3.0,61.0,12,1080,30.83,0.0,0.0,0.25,5.08,,0.008108108108108109,6.166
Sergio Álvarez Conde,163.0,0.0,0.0,0.0,19.0,6,540,27.17,0.0,0.0,0.0,3.17,,0.0,5.434000000000001
Sergio Álvarez Díaz,444.0,1.0,0.04,245.0,60.0,10,900,44.4,0.1,0.0,24.5,6.0,0.04,0.5518018018018018,8.91
Shkodran Mustafi,471.0,7.0,0.44,130.0,46.0,9,810,52.33,0.78,0.05,14.44,5.11,0.06285714285714286,0.2760084925690021,10.725000000000001
Sidnei Rechel da Silva Júnior,220.0,2.0,0.15,35.0,27.0,6,540,36.67,0.33,0.02,5.83,4.5,0.075,0.1590909090909091,7.4430000000000005
Simão Mate,304.0,4.0,0.27,98.0,36.0,10,900,30.4,0.4,0.03,9.8,3.6,0.0675,0.3223684210526316,6.215
Sofiane Feghouli,156.0,7.0,0.31,70.0,20.0,8,720,19.5,0.88,0.04,8.75,2.5,0.04428571428571428,0.44871794871794873,4.184
Stefan Savić,183.0,1.0,0.34,38.0,10.0,5,450,36.6,0.2,0.07,7.6,2.0,0.34,0.20765027322404372,7.415
Stefan Šćepović,113.0,8.0,1.45,55.0,10.0,9,810,12.56,0.89,0.16,6.11,1.11,0.18125,0.48672566371681414,2.8590000000000004
Steven N''Kemboanza Mike Christopher Nzonzi,264.0,5.0,0.94,97.0,17.0,9,810,29.33,0.56,0.1,10.78,1.89,0.188,0.36742424242424243,6.084
Sérgio Paulo Barbosa Valente,48.0,2.0,0.18,20.0,7.0,6,540,8.0,0.33,0.03,3.33,1.17,0.09,0.4166666666666667,1.7140000000000002
Takashi Inui,244.0,15.0,0.94,131.0,27.0,10,900,24.4,1.5,0.09,13.1,2.7,0.06266666666666666,0.5368852459016393,5.375
Thomas Teye Partey,62.0,2.0,0.23,22.0,9.0,3,270,20.67,0.67,0.08,7.33,3.0,0.115,0.3548387096774194,4.375
Théo Bongonda Mbul''Ofeko Batombo,56.0,4.0,0.52,15.0,13.0,6,540,9.33,0.67,0.09,2.5,2.17,0.13,0.26785714285714285,2.112
Tiago Manuel Dias Correia,232.0,25.0,0.67,74.0,36.0,8,720,29.0,3.12,0.08,9.25,4.5,0.0268,0.31896551724137934,6.776000000000001
Timothée Kolodziejczak,353.0,2.0,0.35,54.0,24.0,8,720,44.12,0.25,0.04,6.75,3.0,0.175,0.1529745042492918,8.919
Tomás Pina Isla,325.0,3.0,0.24,113.0,41.0,8,720,40.62,0.38,0.03,14.12,5.12,0.08,0.3476923076923077,8.253
Toni Kroos,615.0,4.0,0.12,162.0,45.0,8,720,76.88,0.5,0.01,20.25,5.62,0.03,0.2634146341463415,15.530999999999999
Vicente Guaita Panadero,276.0,0.0,0.0,0.0,42.0,10,900,27.6,0.0,0.0,0.0,4.2,,0.0,5.5200000000000005
Vicente Iborra De La Fuente,215.0,16.0,4.11,82.0,21.0,11,990,19.55,1.45,0.37,7.45,1.91,0.256875,0.3813953488372093,4.53
Víctor Camarasa Ferrando,295.0,5.0,0.41,126.0,42.0,11,990,26.82,0.45,0.04,11.45,3.82,0.08199999999999999,0.4271186440677966,5.519000000000001
Víctor Casadesús Castaño,215.0,7.0,0.69,65.0,23.0,10,900,21.5,0.7,0.07,6.5,2.3,0.09857142857142856,0.3023255813953488,4.545
Víctor Guillermo Álvarez Delgado,136.0,0.0,0.0,60.0,11.0,3,270,45.33,0.0,0.0,20.0,3.67,,0.4411764705882353,9.066
Víctor Machín Pérez,147.0,6.0,0.45,84.0,32.0,6,540,24.5,1.0,0.08,14.0,5.33,0.075,0.5714285714285714,5.24
Víctor Rodríguez Romero,122.0,6.0,0.23,63.0,17.0,6,540,20.33,1.0,0.04,10.5,2.83,0.03833333333333334,0.5163934426229508,4.386
Víctor Ruíz Torre,415.0,0.0,0.0,60.0,33.0,10,900,41.5,0.0,0.0,6.0,3.3,,0.14457831325301204,8.3
Víctor Sánchez Mata,286.0,6.0,0.78,241.0,31.0,9,810,31.78,0.67,0.09,26.78,3.44,0.13,0.8426573426573427,6.602
Wanderson Maciel Sousa Campos,86.0,7.0,0.24,62.0,26.0,6,540,14.33,1.17,0.04,10.33,4.33,0.03428571428571429,0.7209302325581395,3.237
Weligton Róbson Pena de Oliveira,416.0,1.0,0.05,121.0,47.0,11,990,37.82,0.09,0.0,11.0,4.27,0.05,0.29086538461538464,7.591
Willian José da Silva,210.0,24.0,2.56,117.0,20.0,8,720,26.25,3.0,0.32,14.62,2.5,0.10666666666666667,0.5571428571428572,6.31
Xabier Etxeita Gorritxategi,407.0,6.0,0.43,62.0,22.0,9,810,45.22,0.67,0.05,6.89,2.44,0.07166666666666667,0.15233415233415235,9.270000000000001
Xabier Prieto Argarate,373.0,4.0,0.22,123.0,33.0,11,990,33.91,0.36,0.02,11.18,3.0,0.055,0.3297587131367292,6.9
Yannick Ferreira Carrasco,180.0,16.0,1.3,71.0,38.0,8,720,22.5,2.0,0.16,8.88,4.75,0.08125,0.39444444444444443,5.18
Yevhen Konoplyanka,230.0,11.0,0.54,44.0,22.0,9,810,25.56,1.22,0.06,4.89,2.44,0.049090909090909095,0.19130434782608696,5.508
Yoel Rodríguez Oterino,113.0,0.0,0.0,1.0,17.0,3,270,37.67,0.0,0.0,0.33,5.67,,0.008849557522123894,7.534000000000001
Youssef El-Arabi,178.0,18.0,6.56,132.0,31.0,8,720,22.25,2.25,0.82,16.5,3.88,0.3644444444444444,0.7415730337078652,5.535
Yuri Berchiche Izeta,485.0,1.0,0.02,106.0,43.0,8,720,60.63,0.12,0.0,13.25,5.38,0.02,0.21855670103092784,12.162
Zouhair Feddal,301.0,3.0,0.22,50.0,26.0,7,630,43.0,0.43,0.03,7.14,3.71,0.07333333333333333,0.16611295681063123,8.744
Álvaro Cejudo Carmona,89.0,7.0,0.25,43.0,18.0,6,540,14.83,1.17,0.04,7.17,3.0,0.03571428571428571,0.48314606741573035,3.337
Álvaro Daniel Pereira Barragán,165.0,2.0,0.02,65.0,8.0,5,450,33.0,0.4,0.0,13.0,1.6,0.01,0.3939393939393939,6.720000000000001
Álvaro González Soberón,398.0,5.0,0.52,80.0,28.0,10,900,39.8,0.5,0.05,8.0,2.8,0.10400000000000001,0.20100502512562815,8.135
Álvaro Medrán Just,257.0,12.0,0.65,139.0,44.0,8,720,32.12,1.5,0.08,17.38,5.5,0.05416666666666667,0.5408560311284046,6.914
Álvaro Negredo Sánchez,43.0,9.0,1.32,25.0,7.0,8,720,5.38,1.12,0.16,3.12,0.88,0.14666666666666667,0.5813953488372093,1.492
